"id","Year","Age","trackid","start_time","DeploymentID","sex","tripduration.days","maxdistance.km","totalpathdistance.km","total_landings_hmm","propRest_hmm","propSearch_hmm","propTravel_hmm","propARSvsTravel_hmm","logmaxdistance.km","logtotalpathdistance.km","southLat","northLat","latRange","SAMIndex","SOIIndex","boldness","attempted_breeding","breeding_success","prevyear"
"waal_4087",2013,44,95,"2013-01-25 11:50:00","BS6682_2013","Male",4.770833333,88.30363557,1083.026395,13,0.436681223,0.513100437,0.050218341,0.910852713,4.48078127969552,6.98751461881849,-46.98534,-46.29202,0.69332,0.71,-0.1,-0.359333405,1,1,"failedrep"
"waal_4143",2013,37,692,"2013-03-31 09:38:00","BS6975_2013_b","Male",1.927083333,99.12614019,517.1041817,7,0.432432432,0.448648649,0.118918919,0.79047619,4.59639318243615,6.24824436619988,-47.11066,-45.84635,1.26431,2.31,2.5,0.847705799,1,1,"no attempt"
"waal_4143",2013,37,691,"2013-03-27 11:30:00","BS6975_2013_b","Male",2.75,77.78770861,282.0036705,5,0.745247148,0.243346008,0.011406844,0.955223881,4.35398343168509,5.64192008681085,-47.04743,-46.43197,0.615459999999999,2.31,2.5,0.847705799,1,1,"no attempt"
"waal_4143",2013,37,693,"2013-04-05 04:30:00","BS6975_2013_b","Male",2.208333333,84.50706358,357.6979391,6,0.363207547,0.622641509,0.014150943,0.977777778,4.43683512353218,5.87968888471636,-47.03119,-46.42973,0.601460000000003,-0.07,0.4,0.847705799,1,1,"no attempt"
"waal_4248",2014,34,133,"2014-01-20 12:39:00","BS8046_2014","Male",14.22916667,1203.884701,4960.57752,40,0.510622711,0.293772894,0.195604396,0.600299401,7.09330885799413,8.50927744842476,-48.1649,-44.1637,4.0012,-0.13,2.4,-0.37092921,0,NA,"no attempt"
"waal_4248",2015,35,170,"2015-01-11 08:34:00","BS8046_2015","Male",25.35416667,2838.21183,17762.02878,64,0.318125771,0.238799836,0.443074394,0.35021097,7.95092949552648,9.78481824313016,-63.15205,-45.52799,17.62406,1.35,-1.4,-0.37092921,1,0,"no attempt"
"waal_4283",2013,32,543,"2013-02-24 04:01:00","BS8390_2013","Male",17.89583333,2635.742019,8885.308203,44,0.358182877,0.257425743,0.38439138,0.401088929,7.87692002247182,9.09215442800064,-62.70718,-45.30725,17.39993,2.84,-0.4,1.034940395,1,1,"no attempt"
"waal_4283",2013,32,696,"2013-04-02 04:11:00","BS8390_2013_b","Male",2.916666667,112.5864966,616.5097937,10,0.541218638,0.347670251,0.111111111,0.7578125,4.72372178489073,6.4240742084474,-46.95766,-45.41783,1.53982999999999,-0.07,0.4,1.034940395,1,1,"no attempt"
"waal_4283",2013,32,695,"2013-03-28 06:04:00","BS8390_2013_b","Male",2.15625,75.16477706,338.7624425,6,0.68115942,0.256038647,0.062801932,0.803030303,4.31968273106728,5.82529910214666,-46.93434,-45.93296,1.00138,2.31,2.5,1.034940395,1,1,"no attempt"
"waal_4283",2013,32,694,"2013-03-21 04:30:00","BS8390_2013_b","Male",4,363.5683762,1127.319473,11,0.541666667,0.28125,0.177083333,0.613636364,5.89596738437344,7.02759794591886,-49.36388,-46.27302,3.09086,2.31,2.5,1.034940395,1,1,"no attempt"
"waal_4309",2013,32,58,"2013-02-21 05:24:00","BS8484_2013","Male",10.08333333,1318.640757,5496.123847,24,0.252326784,0.43123061,0.316442606,0.576763485,7.18435675549926,8.61179836767304,-47.16337,-35.61865,11.54472,2.84,-0.4,0.573140446,1,1,"no attempt"
"waal_4309",2017,36,316,"2017-02-27 14:32:00","BS8484_2017","Male",6.708333333,122.0778629,1507.760435,17,0.546583851,0.378881988,0.074534161,0.835616438,4.80465906164897,7.31838067321579,-47.03727,-45.64406,1.39321,-1.09,-0.1,0.573140446,1,1,"no attempt"
